Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"042084-F670L-ZTEGD0792DE3",xsd:string,2026-02-23T03:09:36.963Z,,,,
DeviceID.Manufacturer,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"ZTE",xsd:string,2026-02-23T03:09:36.963Z,,,,
DeviceID.OUI,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"042084",xsd:string,2026-02-23T03:09:36.963Z,,,,
DeviceID.ProductClass,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"F670L",xsd:string,2026-02-23T03:09:36.963Z,,,,
DeviceID.SerialNumber,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"ZTEGD0792DE3",xsd:string,2026-02-23T03:09:36.963Z,,,,
Events.1_BOOT,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"2026-02-16T16:56:16.152Z",xsd:dateTime,2026-02-23T03:09:36.963Z,,,,
Events.Inform,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"2026-02-23T03:09:36.963Z",xsd:dateTime,2026-02-23T03:09:36.963Z,,,,
Events.Registered,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"2025-10-29T02:34:55.633Z",xsd:dateTime,2026-02-23T03:09:36.963Z,,,,
InternetGatewayDevice,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DLNA,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceLog,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"V9.0",xsd:string,2026-02-23T03:09:36.964Z,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"TLCO.GRP2",xsd:string,2026-02-23T03:09:36.964Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"V9.0.11P1N13",xsd:string,2026-02-23T03:09:36.964Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"1.0",xsd:string,2026-02-23T03:09:36.964Z,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"669851",xsd:unsignedInt,2026-02-23T03:09:36.973Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_AdminAccount,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_BootVersion,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_CpuUsed,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_IPv6Enabled,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_MemUsed,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_PortalManagement,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Securitylog,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Syslog,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.DeviceSummary,false,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"InternetGatewayDevice:1.0[](Baseline:1, EthernetLAN:4,FE:0,GE:4,WiFi:2, PONWAN:1, Voip:1, Time:1, IPPing:1)",xsd:string,2026-02-23T03:09:36.964Z,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.Config,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.Enable,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ALG,true,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_DMZ,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_DoS,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_IPFilter,true,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_MacFilterService,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_PortTrigger,true,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4RemoteServicePortControl,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl,true,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl.1,true,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl.1.Enable,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"true",xsd:boolean,2026-02-22T22:59:57.082Z,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl.1.IPEnd,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl.1.IPStart,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl.1.Ingress,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"WAN_ALL",xsd:string,2026-02-22T22:59:57.082Z,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl.1.Mode,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl.1.Name,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV4ServiceControl.1.ServiceType,false,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"HTTP",xsd:string,2026-02-22T22:59:57.082Z,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_ServiceControl.IPV6ServiceControl,true,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.Firewall.X_ZTE-COM_URLFilterService,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2026-02-06T08:10:05.780Z,false,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.LANDevice,true,2026-02-06T08:10:05.780Z,true,2026-02-06T08:10:05.780Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2026-02-23T03:09:36.963Z,true,2026-02-23T03:09:36.963Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.106,true,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.106.Active,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.106.AddressSource,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.106.ClientID,false,2026-02-23T03:09:36.963Z,false,2026-02-23T03:09:36.963Z,"",,,,,,
