Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"505B1D-FD511GD-CDTC1DEB7948",xsd:string,2026-02-23T03:45:53.834Z,,,,
DeviceID.Manufacturer,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"CDTC",xsd:string,2026-02-23T03:45:53.834Z,,,,
DeviceID.OUI,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"505B1D",xsd:string,2026-02-23T03:45:53.834Z,,,,
DeviceID.ProductClass,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"FD511GD",xsd:string,2026-02-23T03:45:53.834Z,,,,
DeviceID.SerialNumber,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"CDTC1DEB7948",xsd:string,2026-02-23T03:45:53.834Z,,,,
Events.Inform,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"2026-02-23T03:45:53.834Z",xsd:dateTime,2026-02-23T03:45:53.834Z,,,,
Events.Registered,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"2026-02-23T03:45:53.834Z",xsd:dateTime,2026-02-23T03:45:53.834Z,,,,
InternetGatewayDevice,true,1970-01-01T00:00:00.001Z,,,"",,,,,,
InternetGatewayDevice.AP,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.CaptivePortal,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceLog,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.EnabledOptions,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"F550.1A",xsd:string,2026-02-23T03:45:53.835Z,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"505B1D",xsd:string,2026-02-23T03:45:53.835Z,,,,
InternetGatewayDevice.DeviceInfo.MemoryStatus,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProcessStatus,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"TLCO.GRP2",xsd:string,2026-02-23T03:45:53.835Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"V3.2.18",xsd:string,2026-02-23T03:45:53.835Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"1.0",xsd:string,2026-02-23T03:45:53.835Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"142405",xsd:unsignedInt,2026-02-23T03:45:53.842Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFileNumberOfEntries,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorLogFile,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
