Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"505B1D-FD512XW%2DR460-CDTC1D2A4C63",xsd:string,2026-02-23T03:07:58.551Z,,,,
DeviceID.Manufacturer,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"CDTC",xsd:string,2026-02-23T03:07:58.551Z,,,,
DeviceID.OUI,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"505B1D",xsd:string,2026-02-23T03:07:58.551Z,,,,
DeviceID.ProductClass,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"FD512XW-R460",xsd:string,2026-02-23T03:07:58.551Z,,,,
DeviceID.SerialNumber,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"CDTC1D2A4C63",xsd:string,2026-02-23T03:07:58.551Z,,,,
Events.1_BOOT,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"2026-02-21T13:21:42.060Z",xsd:dateTime,2026-02-23T03:07:58.551Z,,,,
Events.Inform,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"2026-02-23T03:07:58.551Z",xsd:dateTime,2026-02-23T03:07:58.551Z,,,,
Events.Registered,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"2025-10-30T05:15:25.756Z",xsd:dateTime,2026-02-23T03:07:58.551Z,,,,
InternetGatewayDevice,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.CaptivePortal,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceConfig,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AccessType,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"Gpon",xsd:string,2026-02-23T02:27:57.147Z,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceLog,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceType,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.EnabledOptions,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"R460.1A",xsd:string,2026-02-23T03:07:58.552Z,,,,
